"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C46","CAP_0805[2012M]","1626.181mil","-468.74mil","1626.181mil","-468.74mil","1663.583mil","-468.74mil","B","180.00","Cap"
"C45","CAP_1210[3225M]","1596.181mil","-568.74mil","1596.181mil","-568.74mil","1653.268mil","-568.74mil","B","180.00","Cap"
"C44","CAP_1210[3225M]","1596.181mil","-698.74mil","1596.181mil","-698.74mil","1653.268mil","-698.74mil","B","180.00","Cap"
"C43","CAP_0402[1005M]","1586.181mil","-168.74mil","1586.181mil","-168.74mil","1606.85mil","-168.74mil","T","180.00","Cap"
"C42","CAP_1210[3225M]","1226.181mil","-628.74mil","1226.181mil","-628.74mil","1169.094mil","-628.74mil","T","360.00","Cap"
"C41","CAP_1210[3225M]","1226.181mil","-498.74mil","1226.181mil","-498.74mil","1169.094mil","-498.74mil","T","360.00","Cap"
"C40","CAP_0402[1005M]","1586.181mil","-328.74mil","1586.181mil","-328.74mil","1606.85mil","-328.74mil","T","180.00","Cap"
"C38","CAP_0402[1005M]","466.181mil","-248.74mil","466.181mil","-248.74mil","445.512mil","-248.74mil","T","360.00","Cap"
"C37","CAP_0402[1005M]","36.181mil","-198.74mil","36.181mil","-198.74mil","36.181mil","-219.41mil","T","90.00","Cap"
"C36","CAP_0402[1005M]","466.181mil","-288.74mil","466.181mil","-288.74mil","486.85mil","-288.74mil","T","180.00","CAP"
"C35","CAP_0402[1005M]","36.181mil","-313.74mil","36.181mil","-313.74mil","36.181mil","-334.409mil","T","90.00","Cap"
"C34","CAP_0603[1608M]","506.181mil","-388.74mil","506.181mil","-388.74mil","534.724mil","-388.74mil","B","180.00","Cap"
"C33","CAP_0805[2012M]","506.181mil","-468.74mil","506.181mil","-468.74mil","543.583mil","-468.74mil","B","180.00","Cap"
"C32","CAP_1210[3225M]","476.181mil","-568.74mil","476.181mil","-568.74mil","533.268mil","-568.74mil","B","180.00","Cap"
"C31","CAP_1210[3225M]","476.181mil","-698.74mil","476.181mil","-698.74mil","533.268mil","-698.74mil","B","180.00","Cap"
"C30","CAP_0402[1005M]","466.183mil","-168.739mil","466.183mil","-168.739mil","486.852mil","-168.739mil","T","180.00","Cap"
"C29","CAP_1210[3225M]","106.181mil","-628.74mil","106.181mil","-628.74mil","49.094mil","-628.74mil","T","360.00","Cap"
"C28","CAP_1210[3225M]","106.181mil","-498.74mil","106.181mil","-498.74mil","49.094mil","-498.74mil","T","360.00","Cap"
"C27","CAP_0402[1005M]","466.183mil","-328.74mil","466.183mil","-328.74mil","486.852mil","-328.74mil","T","180.00","Cap"

